"filename", "language", "XML", "Java", "Java Properties", "PostCSS", "Batch", "comment", "blank", "total"
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\.idea\encodings.xml", "XML", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\.idea\misc.xml", "XML", 14, 0, 0, 0, 0, 0, 0, 14
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\mvnw.cmd", "Batch", 0, 0, 0, 0, 102, 51, 36, 189
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\pom.xml", "XML", 71, 0, 0, 0, 0, 1, 5, 77
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\AppController.java", "Java", 0, 14, 0, 0, 0, 0, 5, 19
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\AppState.java", "Java", 0, 22, 0, 0, 0, 1, 8, 31
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\Chapter.java", "Java", 0, 71, 0, 0, 0, 0, 23, 94
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\DataValidator.java", "Java", 0, 40, 0, 0, 0, 0, 9, 49
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\DifficultyLevel.java", "Java", 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\Exam.java", "Java", 0, 45, 0, 0, 0, 0, 15, 60
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\ExamAppearance.java", "Java", 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\ExamType.java", "Java", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\HelloApplication.java", "Java", 0, 25, 0, 0, 0, 1, 9, 35
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\PdfviewerController.java", "Java", 0, 32, 0, 0, 0, 0, 10, 42
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\RandomGenerator.java", "Java", 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\ScoreCalculator.java", "Java", 0, 72, 0, 0, 0, 0, 16, 88
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\Subtask.java", "Java", 0, 60, 0, 0, 0, 0, 19, 79
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\Variant.java", "Java", 0, 46, 0, 0, 0, 0, 14, 60
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\XMLFileValidator.java", "Java", 0, 104, 0, 0, 0, 0, 57, 161
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\XMLParser.java", "Java", 0, 79, 0, 0, 0, 0, 46, 125
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\frame2Controller.java", "Java", 0, 796, 0, 0, 0, 3, 199, 998
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\helloViewController.java", "Java", 0, 99, 0, 0, 0, 0, 24, 123
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\module-info.java", "Java", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\Frame2.fxml", "XML", 87, 0, 0, 0, 0, 0, 13, 100
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\hello-view.fxml", "XML", 97, 0, 0, 0, 0, 5, 13, 115
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\pdfviewer.fxml", "XML", 113, 0, 0, 0, 0, 3, 17, 133
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\styles.css", "PostCSS", 0, 0, 0, 148, 0, 8, 29, 185
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\styles2.css", "PostCSS", 0, 0, 0, 65, 0, 4, 15, 84
"Total", "-", 395, 1531, 2, 213, 102, 77, 593, 2913
