"filename", "language", "XML", "Java", "PostCSS", "comment", "blank", "total"
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\pom.xml", "XML", 5, 0, 0, 0, 0, 5
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\Chapter.java", "Java", 0, 0, 0, 0, -1, -1
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\DataValidator.java", "Java", 0, 72, 0, 0, 25, 97
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\Exam.java", "Java", 0, -8, 0, 0, -3, -11
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\ExamGenerator.java", "Java", 0, 230, 0, 0, 63, 293
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\ExportMode.java", "Java", 0, 5, 0, 0, 1, 6
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\GeneratedTask.java", "Java", 0, 20, 0, 0, 6, 26
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\PDFExporter.java", "Java", 0, 287, 0, 0, 87, 374
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\PdfviewerController.java", "Java", 0, 218, 0, 0, 64, 282
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\RandomGenerator.java", "Java", 0, -3, 0, 0, -2, -5
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\ScoreCalculator.java", "Java", 0, 49, 0, 4, 17, 70
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\XMLFileValidator.java", "Java", 0, -2, 0, 0, -13, -15
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\XMLParser.java", "Java", 0, 2, 0, 1, -4, -1
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\frame2Controller.java", "Java", 0, 40, 0, 0, 5, 45
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\helloViewController.java", "Java", 0, 7, 0, 0, 4, 11
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\module-info.java", "Java", 0, 1, 0, 0, 0, 1
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\pdfviewer.fxml", "XML", 63, 0, 0, -1, 5, 67
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\styles2.css", "PostCSS", 0, 0, 107, 28, 13, 148
"Total", "-", 68, 918, 107, 32, 267, 1392
