"filename", "language", "XML", "Java Properties", "Java", "Batch", "PostCSS", "comment", "blank", "total"
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\.idea\encodings.xml", "XML", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\.idea\misc.xml", "XML", 14, 0, 0, 0, 0, 0, 0, 14
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\mvnw.cmd", "Batch", 0, 0, 0, 102, 0, 51, 36, 189
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\pom.xml", "XML", 76, 0, 0, 0, 0, 1, 5, 82
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\AppController.java", "Java", 0, 0, 14, 0, 0, 0, 5, 19
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\AppState.java", "Java", 0, 0, 22, 0, 0, 1, 8, 31
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\Chapter.java", "Java", 0, 0, 71, 0, 0, 0, 22, 93
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\DataValidator.java", "Java", 0, 0, 112, 0, 0, 0, 34, 146
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\DifficultyLevel.java", "Java", 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\Exam.java", "Java", 0, 0, 37, 0, 0, 0, 12, 49
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\ExamAppearance.java", "Java", 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\ExamGenerator.java", "Java", 0, 0, 230, 0, 0, 0, 63, 293
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\ExamType.java", "Java", 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\ExportMode.java", "Java", 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\GeneratedTask.java", "Java", 0, 0, 20, 0, 0, 0, 6, 26
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\HelloApplication.java", "Java", 0, 0, 25, 0, 0, 1, 9, 35
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\PDFExporter.java", "Java", 0, 0, 287, 0, 0, 0, 87, 374
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\PdfviewerController.java", "Java", 0, 0, 250, 0, 0, 0, 74, 324
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\ScoreCalculator.java", "Java", 0, 0, 121, 0, 0, 4, 33, 158
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\Subtask.java", "Java", 0, 0, 60, 0, 0, 0, 19, 79
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\Variant.java", "Java", 0, 0, 46, 0, 0, 0, 14, 60
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\XMLFileValidator.java", "Java", 0, 0, 102, 0, 0, 0, 44, 146
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\XMLParser.java", "Java", 0, 0, 81, 0, 0, 1, 42, 124
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\frame2Controller.java", "Java", 0, 0, 836, 0, 0, 3, 204, 1043
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\helloViewController.java", "Java", 0, 0, 106, 0, 0, 0, 28, 134
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\module-info.java", "Java", 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\Frame2.fxml", "XML", 87, 0, 0, 0, 0, 0, 13, 100
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\hello-view.fxml", "XML", 97, 0, 0, 0, 0, 5, 13, 115
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\pdfviewer.fxml", "XML", 176, 0, 0, 0, 0, 2, 22, 200
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\styles.css", "PostCSS", 0, 0, 0, 0, 148, 8, 29, 185
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\styles2.css", "PostCSS", 0, 0, 0, 0, 172, 32, 28, 232
"Total", "-", 463, 2, 2449, 102, 320, 109, 860, 4305
