"filename", "language", "XML", "Java Properties", "Java", "PostCSS", "Batch", "comment", "blank", "total"
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\.idea\encodings.xml", "XML", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\.idea\misc.xml", "XML", 14, 0, 0, 0, 0, 0, 0, 14
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\mvnw.cmd", "Batch", 0, 0, 0, 0, 102, 51, 36, 189
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\pom.xml", "XML", 76, 0, 0, 0, 0, 1, 5, 82
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\app\AppController.java", "Java", 0, 0, 11, 0, 0, 12, 4, 27
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\app\HelloApplication.java", "Java", 0, 0, 25, 0, 0, 24, 9, 58
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\app\package-info.java", "Java", 0, 0, 1, 0, 0, 6, 0, 7
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\controller\PdfviewerController.java", "Java", 0, 0, 288, 0, 0, 101, 82, 471
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\controller\frame2Controller.java", "Java", 0, 0, 878, 0, 0, 278, 214, 1370
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\controller\helloViewController.java", "Java", 0, 0, 109, 0, 0, 60, 29, 198
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\controller\package-info.java", "Java", 0, 0, 1, 0, 0, 6, 0, 7
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\datamodel\Chapter.java", "Java", 0, 0, 71, 0, 0, 89, 22, 182
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\datamodel\DifficultyLevel.java", "Java", 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\datamodel\Exam.java", "Java", 0, 0, 37, 0, 0, 53, 12, 102
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\datamodel\ExamAppearance.java", "Java", 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\datamodel\ExamType.java", "Java", 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\datamodel\Subtask.java", "Java", 0, 0, 60, 0, 0, 85, 18, 163
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\datamodel\Variant.java", "Java", 0, 0, 46, 0, 0, 64, 13, 123
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\datamodel\package-info.java", "Java", 0, 0, 1, 0, 0, 6, 0, 7
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\AppState.java", "Java", 0, 0, 23, 0, 0, 35, 9, 67
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\DataValidator.java", "Java", 0, 0, 119, 0, 0, 102, 35, 256
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\ExamGenerator.java", "Java", 0, 0, 236, 0, 0, 192, 66, 494
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\ExportMode.java", "Java", 0, 0, 5, 0, 0, 12, 3, 20
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\GeneratedTask.java", "Java", 0, 0, 23, 0, 0, 29, 7, 59
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\PDFExporter.java", "Java", 0, 0, 288, 0, 0, 208, 87, 583
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\ScoreCalculator.java", "Java", 0, 0, 122, 0, 0, 81, 37, 240
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\XMLFileValidator.java", "Java", 0, 0, 106, 0, 0, 100, 43, 249
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\XMLParser.java", "Java", 0, 0, 82, 0, 0, 65, 37, 184
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\service\package-info.java", "Java", 0, 0, 1, 0, 0, 6, 0, 7
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\java\module-info.java", "Java", 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\Frame2.fxml", "XML", 84, 0, 0, 0, 0, 0, 13, 97
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\hello-view.fxml", "XML", 97, 0, 0, 0, 0, 5, 13, 115
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\pdfviewer.fxml", "XML", 176, 0, 0, 0, 0, 2, 22, 200
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\styles.css", "PostCSS", 0, 0, 0, 148, 0, 8, 29, 185
"c:\Users\nikre\IdeaProjects\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\styles2.css", "PostCSS", 0, 0, 0, 172, 0, 32, 28, 232
"Total", "-", 460, 2, 2564, 320, 102, 1713, 882, 6043
