"filename", "language", "Java", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\demodata\practice_exam_xml.xml", "XML", 0, 294, 0, 0, 4, 298
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\demodata\regular_exam_xml.xml", "XML", 0, 356, 0, 0, 1, 357
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\app\AppNavigator.java", "Java", 31, 0, 0, 37, 9, 77
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\app\HelloApplication.java", "Java", 0, 0, 0, -21, -2, -23
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\app\MainShellController.java", "Java", 171, 0, 0, 85, 36, 292
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\controller\PdfviewerController.java", "Java", -65, 0, 0, -22, -13, -100
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\controller\frame2Controller.java", "Java", 64, 0, 0, -109, 15, -30
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\java\com\randexgen\swe1_randexgen\controller\helloViewController.java", "Java", -17, 0, 0, -3, -5, -25
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\Frame2.fxml", "XML", 0, -18, 0, -1, 0, -19
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\MainShell.fxml", "XML", 0, 60, 0, 0, 11, 71
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\hello-view.fxml", "XML", 0, 27, 0, 0, 4, 31
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\pdfviewer.fxml", "XML", 0, -34, 0, 0, -4, -38
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\styles.css", "PostCSS", 0, 0, 502, 43, 125, 670
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\styles2.css", "PostCSS", 0, 0, 158, 0, 51, 209
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\styles3.css", "PostCSS", 0, 0, 133, 17, 34, 184
"c:\Users\nikre\Documents\GitHub\SWE1_RandExGen\src\main\resources\com\randexgen\swe1_randexgen\styles4.css", "PostCSS", 0, 0, 99, 12, 29, 140
"Total", "-", 184, 685, 892, 38, 295, 2094
